x,y,z,time,energy
-245.650, -190.490, -264.070, 1775.099, 16.199
-245.650, -190.490, -281.090, 1846.104, 7.225
-245.650, -190.490, -298.110, 2074.884, 1.901
-245.650, -190.490, -315.130, 2467.255, 0.651
-245.650, -190.490, -332.150, 3287.203, 1.760
-245.650, -190.490, -366.190, 3328.481, 0.714
-245.650, -190.490, -451.070, 3829.748, 0.491
-121.770, -171.030, -127.490, 2228.347, 0.813
-121.770, -171.030, -144.510, 2667.444, 0.901
-121.770, -171.030, -161.540, 2102.232, 1.451
-121.770, -171.030, -178.560, 1859.510, 1.138
-121.770, -171.030, -195.580, 1954.500, 2.582
-121.770, -171.030, -212.600, 1866.706, 1.145
-121.770, -171.030, -246.640, 1726.896, 4.739
-121.770, -171.030, -263.660, 1694.334, 1.131
-121.770, -171.030, -280.680, 2079.454, 1.565
-121.770, -171.030, -314.590, 2199.808, 3.162
-121.770, -171.030, -331.490, 1954.922, 0.279
-121.770, -171.030, -348.510, 2239.745, 2.962
1.710, -150.630, -166.550, 2930.255, 0.810
1.710, -150.630, -234.640, 4250.654, 0.831
1.710, -150.630, -251.660, 4753.253, 1.321
1.710, -150.630, -285.700, 2302.234, 0.623
1.710, -150.630, -336.760, 5121.552, 0.424
1.710, -150.630, -353.780, 3311.296, 0.454
124.970, -131.250, -272.280, 2017.029, 1.092
124.970, -131.250, -476.530, 2886.808, 1.165
248.150, -111.870, -353.000, 2820.634, 1.554
371.560, -92.180, -417.540, 3779.048, 1.374
-570.900, -125.140, -113.140, 3561.262, 4.127
-570.900, -125.140, -147.180, 3207.904, 1.926
-570.900, -125.140, -164.200, 3355.785, 4.380
-570.900, -125.140, -181.230, 3361.930, 0.639
-570.900, -125.140, -198.250, 3077.348, 6.653
-570.900, -125.140, -215.270, 3516.397, 3.880
-570.900, -125.140, -232.290, 3799.977, 0.351
-570.900, -125.140, -249.310, 4781.148, 0.464
-570.900, -125.140, -266.330, 3891.402, 1.164
-570.900, -125.140, -300.370, 5515.318, 0.659
-447.740, -113.130, -112.070, 2889.273, 2.608
-447.740, -113.130, -129.090, 2717.619, 3.384
-447.740, -113.130, -146.110, 2686.570, 11.661
